v1, v2, dup lines, len_v1, len_v2, measure
1.0.1, 3.4.1, 40, 5173, 9556, 0.002715730871070677
1.0.2, 1.0.3, 3483, 6779, 6606, 0.26021666044079195
1.0.2, 1.0.4, 3128, 6779, 6969, 0.22752400349141694
1.0.2, 1.1, 724, 6779, 6217, 0.05570944906124962
1.0.2, 1.1.1, 699, 6779, 6259, 0.05361251725724804
1.0.2, 1.1.2, 713, 6779, 6430, 0.05397834809599515
1.0.2, 1.1.3, 283, 6779, 6860, 0.020749321797785762
1.0.2, 1.1.3.1, 283, 6779, 6864, 0.02074323829069853
1.0.2, 1.1.4, 282, 6779, 7389, 0.019904009034443816
1.0.2, 1.10.0, 61, 6779, 7812, 0.004180659310533891
1.0.2, 1.10.1, 61, 6779, 7809, 0.00418151905675898
1.0.2, 1.10.2, 61, 6779, 7817, 0.004179227185530282
1.0.2, 1.11.0, 133, 6779, 21947, 0.004629951959896957
1.0.2, 1.11.1, 149, 6779, 21927, 0.005190552497735665
1.0.2, 1.11.2, 149, 6779, 21970, 0.0051827889665727505
1.0.2, 1.11.3, 149, 6779, 21975, 0.005181887737358281
1.0.2, 1.12.0, 73, 6779, 9521, 0.004478527607361963
1.0.2, 1.12.1, 73, 6779, 9520, 0.004478802380514142
1.0.2, 1.12.2, 73, 6779, 9507, 0.004482377502149085
1.0.2, 1.12.3, 73, 6779, 9500, 0.004484304932735426
1.0.2, 1.12.4, 73, 6779, 9494, 0.004485958335893812
1.0.2, 1.2, 139, 6779, 2966, 0.01426372498717291
1.0.2, 1.2.1, 139, 6779, 2993, 0.014224314367580843
1.0.2, 1.2.2, 61, 6779, 3383, 0.006002755363117496
1.0.2, 1.2.3, 61, 6779, 3408, 0.005988023952095809
1.0.2, 1.2.4, 61, 6779, 3546, 0.005907990314769976
1.0.2, 1.2.5, 61, 6779, 3546, 0.005907990314769976
1.0.2, 1.2.6, 61, 6779, 3551, 0.00590513068731849
1.0.2, 1.3, 75, 6779, 4243, 0.006804572672836146
1.0.2, 1.3.0, 75, 6779, 4243, 0.006804572672836146
1.0.2, 1.3.1, 75, 6779, 4243, 0.006804572672836146
1.0.2, 1.3.2, 97, 6779, 4377, 0.008694872714234492
1.0.2, 1.4, 84, 6779, 4949, 0.007162346521145975
1.0.2, 1.4.0, 84, 6779, 4949, 0.007162346521145975
1.0.2, 1.4.1, 84, 6779, 5024, 0.0071168347030416
1.0.2, 1.4.2, 84, 6779, 5184, 0.007021650087770626
1.0.2, 1.4.3, 61, 6779, 5729, 0.004876878797569556
1.0.2, 1.4.4, 61, 6779, 5863, 0.004825185888308812
1.0.2, 1.5, 61, 6779, 6801, 0.004491899852724595
1.0.2, 1.5.0, 61, 6779, 6801, 0.004491899852724595
1.0.2, 1.5.1, 61, 6779, 6931, 0.004449307075127644
1.0.2, 1.5.2, 61, 6779, 6975, 0.004435073433183074
1.0.2, 1.6, 61, 6779, 7460, 0.004284008708476719
1.0.2, 1.6.0, 61, 6779, 7460, 0.004284008708476719
1.0.2, 1.6.1, 61, 6779, 7525, 0.004264541387024609
1.0.2, 1.6.2, 80, 6779, 7571, 0.005574912891986063
1.0.2, 1.6.3, 80, 6779, 7633, 0.005550929780738274
1.0.2, 1.6.4, 80, 6779, 7635, 0.005550159567087554
1.0.2, 1.7, 80, 6779, 7860, 0.0054648541567046925
1.0.2, 1.7.0, 80, 6779, 7860, 0.0054648541567046925
1.0.2, 1.7.1, 80, 6779, 7826, 0.005477576172543649
1.0.2, 1.7.2, 80, 6779, 7960, 0.005427776646990976
1.0.2, 1.8.0, 79, 6779, 7767, 0.005431046335762409
1.0.2, 1.8.1, 79, 6779, 7772, 0.005429180125077314
1.0.2, 1.8.2, 79, 6779, 7776, 0.005427688079697698
1.0.2, 1.8.3, 79, 6779, 7790, 0.0054224723728464545
1.0.2, 1.9.0, 61, 6779, 7713, 0.004209218879381728
1.0.2, 1.9.1, 61, 6779, 7747, 0.0041993666528982515
1.0.2, 2.0.0, 61, 6779, 6987, 0.004431207322388493
1.0.2, 2.0.1, 61, 6779, 7013, 0.004422853828306265
1.0.2, 2.0.2, 61, 6779, 7008, 0.004424457822586494
1.0.2, 2.0.3, 61, 6779, 7021, 0.004420289855072463
1.0.2, 2.1.0, 133, 6779, 20879, 0.004808735266469014
1.0.2, 2.1.1, 135, 6779, 20968, 0.004865390853065196
1.0.2, 2.1.2, 135, 6779, 20988, 0.004861886411927828
1.0.2, 2.1.3, 135, 6779, 20988, 0.004861886411927828
1.0.2, 2.1.4, 135, 6779, 20993, 0.004861011090306784
1.0.2, 2.2.0, 71, 6779, 8517, 0.00464173640167364
1.0.2, 2.2.1, 71, 6779, 8517, 0.00464173640167364
1.0.2, 2.2.2, 71, 6779, 8519, 0.004641129559419532
1.0.2, 2.2.3, 71, 6779, 8519, 0.004641129559419532
1.0.2, 2.2.4, 71, 6779, 8491, 0.0046496398166339225
1.0.2, 3.0.0, 92, 6779, 8959, 0.00584572372601347
1.0.2, 3.1.0, 89, 6779, 9001, 0.005640050697084917
1.0.2, 3.1.1, 90, 6779, 9098, 0.005668577187126031
1.0.2, 3.2.0, 89, 6779, 9134, 0.00559291145604223
1.0.2, 3.2.1, 89, 6779, 9141, 0.005590452261306533
1.0.2, 3.3.0, 89, 6779, 9307, 0.005532761407435037
1.0.2, 3.3.1, 89, 6779, 9307, 0.005532761407435037
1.0.2, 3.4.0, 89, 6779, 9543, 0.005452763141771842
1.0.2, 3.4.1, 89, 6779, 9556, 0.005448423630241812
1.0.3, 1.0.4, 3191, 6606, 6969, 0.23506445672191528
1.0.3, 1.1, 891, 6606, 6217, 0.0694845200031194
1.0.3, 1.1.1, 877, 6606, 6259, 0.06816945200155461
1.0.3, 1.1.2, 861, 6606, 6430, 0.06604786744400122
1.0.3, 1.1.3, 282, 6606, 6860, 0.020941630773800683
1.0.3, 1.1.3.1, 279, 6606, 6864, 0.02071269487750557
1.0.3, 1.1.4, 265, 6606, 7389, 0.01893533404787424
1.0.3, 1.10.0, 0, 6606, 7812, 0.0
1.0.3, 1.10.1, 0, 6606, 7809, 0.0
1.0.3, 1.10.2, 0, 6606, 7817, 0.0
1.0.3, 1.11.0, 82, 6606, 21947, 0.0028718523447623717
1.0.3, 1.11.1, 98, 6606, 21927, 0.0034346195633126555
1.0.3, 1.11.2, 98, 6606, 21970, 0.0034294512877939528
